group,Written English,Cantonese,Spoken English,Written Chinese,Putonghua
HK-owned,5.09,4.9,4.66,4.21,3.87
"China-owned
Ownership",4.85,4.49,4.65,4.81,4.75
Foreign-owned,5.21,4.67,4.97,3.64,3.98
